NTA,mean_savings,total_jobs_created
Battery Park City-Lower Manhattan,3798151.2388888896,0.0
Bushwick South,307800.031,10.0
Carroll Gardens-Columbia Street-Red Hook,184683.94545454546,0.0
College Point,574250.8085714285,2.0
Crown Heights North,17168.966666666667,0.0
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,437390.5,0.0
East New York,457945.4011111111,15.0
East Williamsburg,143369.4790909091,0.0
Greenpoint,177222.05857142856,0.0
Hunters Point-Sunnyside-West Maspeth,160609.31960000005,0.0
Hunts Point,397635.44923076924,12.0
Manhattanville,22030.588888888888,0.0
Maspeth,20783.175555555554,10.0
Mott Haven-Port Morris,159905.58428571429,10.0
Queensbridge-Ravenswood-Long Island City,447198.665,0.0
SoHo-TriBeCa-Civic Center-Little Italy,990867.5859999998,0.0
Springfield Gardens South-Brookville,362028.862,0.0
Steinway,255769.45285714287,20.0
Sunset Park West,139256.48499999996,0.0
park-cemetery-etc-Brooklyn,36740.328,0.0
